#{"t_start": 1743793866.5995638, "env_id": "None"}
r,l,t
211.43959,321,14.595399
213.5296,322,20.124584
212.31961,323,25.853296
220.05959,329,31.705733
220.25955,329,37.155642
163.62984,277,42.141759
77.780045,132,44.740308
216.38956,326,54.723161
217.65958,329,60.95627
215.10959,324,66.50686
167.42984,277,71.417311
217.01959,323,77.513573
110.84997,180,81.414829
164.51988,278,86.30188
214.22957,322,96.392437
212.03961,321,102.671087
76.88003,132,105.302104
220.12949,332,111.320294
76.28002,132,114.228292
217.89963,325,119.691204
216.79959,325,125.604152
166.07979,272,134.720054
166.11984,278,139.511923
220.02954,332,145.48856
220.42955,332,151.070988
77.480034,132,153.763979
165.46983,273,158.996237
221.72961,332,164.43802
166.6698,273,169.240869
164.27979,272,177.870495
218.00961,324,183.370099
222.12956,332,188.909847
222.3296,332,194.37792
395.09958,400,200.886569
216.79951,325,206.018282
244.88974,371,215.951057
220.4296,332,221.024541
166.11995,278,226.710731
393.0996,400,232.953211
215.00955,324,238.595896
168.86992,273,243.573319
215.31963,323,252.720665
221.85953,329,257.843629
245.68973,371,264.741779
390.74985,400,271.128843
219.72958,332,277.184762
78.38003,132,279.561531
220.2495,330,289.958278
219.05959,339,295.206704
396.8997,400,301.835681
217.52962,322,307.173386
393.28973,401,314.445602
244.98967,371,320.624667
167.43993,276,330.575749
246.08965,371,336.609811
168.06982,273,341.426149
393.19968,400,348.197172
168.23987,276,352.427995
217.62962,322,357.975815
166.11987,278,362.815895
77.88002,132,368.968287
77.68001,132,371.230562
393.84973,400,377.515796
223.72961,332,383.295702
170.24988,275,388.039434
395.48975,401,395.190142
247.58974,371,401.886994
223.35953,329,410.95965
73.530014,127,413.300399
78.45001,135,416.245766
166.15987,274,421.720694
224.10957,334,427.775121
79.24999,135,430.651
219.71967,323,435.592599
222.83948,331,441.742714
245.58968,371,450.988281
218.4097,324,456.171061
216.61966,323,462.771154
71.87002,123,465.098001
222.37961,337,470.626904
216.51971,323,475.699193
80.26,134,478.229051
79.649994,135,481.183484
169.55992,274,489.652955
222.76968,338,495.347437
221.3296,332,501.668968
71.98002,122,504.07273
225.85959,329,510.470396
70.380005,122,513.205756
394.79974,400,519.714429
72.09003,121,521.985408
395.79977,400,532.040917
222.29964,335,538.330797
224.08963,336,544.205845
218.21962,323,549.767177
167.6199,278,554.709023
396.79974,400,561.204614
219.22958,322,570.338191
223.70961,334,576.554681
70.39002,121,578.840615
247.28963,371,585.758477
169.96983,273,590.485465
168.82986,277,595.571415
223.7797,337,602.245394
220.52963,332,612.307994
167.61989,278,617.079216
394.1997,400,624.265244
215.23961,321,629.842968
223.5896,336,635.801218
221.40956,334,641.718461
223.2396,331,652.279333
221.03957,331,657.607928
71.970024,123,659.979245
399.23962,401,668.379187
223.0496,340,673.947941
395.74,401,680.654134
221.59958,325,689.4615
224.04958,330,695.317567
222.31963,333,700.565993
219.01959,323,705.871917
227.24965,330,712.193656
168.26988,273,717.650455
394.93948,401,728.017128
224.12953,332,733.824984
397.03952,401,740.129005
397.65,400,746.454165
221.98962,326,751.722691
397.13998,401,759.136796
172.16974,268,767.763317
80.47,133,771.00708
72.390045,121,773.701244
397.89954,400,780.309065
72.58003,122,782.492656
228.24959,330,789.145631
399.83942,401,795.756037
399.43994,401,802.737516
224.81963,333,812.14297
79.380035,132,814.429968
80.28005,132,817.992319
72.19004,121,820.897568
224.41959,333,829.566094
226.1496,340,836.199154
399.53998,401,843.27946
219.61975,323,854.213697
72.38004,122,856.682564
398.74966,400,863.101505
400.4898,401,869.866849
225.12958,342,875.7581
225.6096,334,881.605477
171.71986,278,885.930298
219.09961,325,895.29383
401.98975,401,901.434145
399.58972,401,908.719083
169.48982,271,913.333057
397.63953,401,920.12322
399.59952,400,930.603096
398.64966,400,937.266987
226.77963,337,942.399914
400.18976,401,951.656985
399.48975,401,959.042719
223.18964,326,965.192971
225.53958,331,974.394969
400.8998,400,980.371148
251.0897,371,987.327489
400.84973,400,993.486883
400.18964,401,1001.038882
226.9596,329,1011.223489
399.13956,401,1017.877884
400.63947,401,1023.820891
79.69003,131,1026.895606
81.37003,133,1029.453118
400.28973,401,1036.480533
398.83948,401,1044.120739
400.53958,401,1055.397795
224.08966,336,1060.675484
402.28986,401,1067.667552
400.8897,401,1074.897935
400.5997,400,1081.664257
400.08978,401,1092.202778
78.990005,131,1095.022927
79.76999,133,1097.56396
173.9698,268,1102.185569
400.18982,401,1108.998304
398.74976,400,1115.976529
401.5899,401,1122.387413
400.14963,400,1133.34013
72.79004,121,1135.512426
397.7394,401,1142.446976
399.04953,400,1149.569149
401.8899,401,1157.204551
399.18988,401,1164.784384
72.98003,122,1172.150819
171.16968,268,1176.945359
399.33957,401,1183.519458
225.41957,333,1188.728323
73.380035,122,1191.148603
400.24973,400,1198.254909
398.63953,401,1205.443033
399.28967,401,1215.932924
399.98975,401,1222.284871
398.4395,401,1229.460748
400.3899,401,1236.722949
77.99002,131,1239.12281
78.77,133,1242.120807
400.2898,401,1252.627553
399.59964,400,1258.809889
399.88977,401,1265.949137
170.21996,278,1271.148335
400.1897,401,1277.542258
399.08984,401,1284.472212
224.87973,327,1293.41801
399.23962,401,1300.225423
398.64972,400,1306.948634
397.43948,401,1313.082253
76.12,128,1315.956094
112.319954,183,1320.165392
401.18964,401,1331.066343
399.08978,401,1337.752855
71.990036,121,1339.956667
110.94996,180,1344.198684
399.78986,401,1350.40728
399.4898,401,1357.808822
399.3899,401,1364.592551
396.43948,401,1375.017155
70.560005,124,1377.30029
399.1897,401,1384.064444
398.83948,401,1391.171107
399.38968,401,1398.120071
222.79959,335,1404.16942
70.59002,121,1410.844429
72.93999,126,1413.424081
398.13956,401,1421.375928
397.80954,399,1428.381946
399.38977,401,1435.180902
70.67999,122,1438.289986
71.439995,126,1440.576522
400.99948,400,1452.355089
401.08984,401,1458.808677
398.64972,400,1465.655299
400.9897,401,1472.263768
401.98975,401,1478.815066
400.28973,401,1490.874349
399.8899,401,1499.460454
222.47961,337,1504.669148
223.43956,341,1511.101073
399.29944,400,1518.456712
71.960014,124,1520.699317
69.48001,122,1523.346127
221.88965,326,1532.792083
169.28981,271,1537.481059
396.8395,401,1545.978107
397.53952,401,1552.582278
398.78986,401,1559.109816
398.99988,400,1566.795435
399.19962,400,1576.933285
248.83955,371,1582.846245
400.33954,401,1589.226295
220.29962,325,1594.222217
224.8296,332,1599.745044
71.87001,123,1601.94426
170.82988,277,1610.313058
224.42966,342,1615.490185
79.120026,138,1618.485545
397.83945,401,1624.936049
79.280014,132,1627.345753
397.73953,401,1634.270338
397.2898,401,1640.582702
398.43958,401,1650.566319
70.189995,121,1652.751973
399.98987,401,1659.378163
397.88983,401,1665.708061
400.9898,401,1672.250922
225.8796,337,1677.673608
398.4395,401,1688.006577
171.03964,261,1692.744548
398.98993,401,1699.810935
398.4494,400,1705.623374
222.35962,339,1711.492024
78.27997,132,1714.077319
224.97946,332,1723.448007
399.28986,401,1729.987491
224.46965,338,1736.020577
400.68976,401,1742.624061
222.2796,327,1747.67125
224.02959,342,1753.721457
398.23956,401,1764.198539
395.88977,401,1770.589493
396.43948,401,1778.010588
396.28967,401,1784.782319
395.38983,401,1790.451426
396.1395,401,1802.008485
401.58936,401,1808.155428
400.38974,401,1815.37985
396.73956,401,1822.333443
398.03955,401,1828.430527
396.9897,401,1839.595059
393.7395,401,1846.179434
395.25967,399,1853.302515
397.7497,400,1859.134403
395.8397,401,1866.299052
395.63962,401,1877.328504
395.8997,400,1883.896934
396.7898,401,1890.699193
395.7396,401,1896.837108
78.780014,132,1900.676027
396.83963,401,1909.187121
396.18982,401,1918.872167
395.0396,401,1925.548157
396.48987,401,1932.181946
398.29984,400,1939.241792
169.64969,260,1944.547357
399.58942,401,1950.510448
397.18988,401,1961.748174
394.43958,401,1968.400735
395.5397,401,1975.156312
394.94962,400,1981.042772
398.18988,401,1988.498025
397.0395,401,1998.363258
398.1395,401,2004.837489
400.44974,400,2011.671808
399.9998,400,2017.641894
395.8396,401,2024.828041
399.58978,401,2035.712952
399.13962,401,2042.221537
400.7897,401,2048.503617
398.2898,401,2055.203934
73.37004,123,2057.662357
225.17964,337,2064.031341
73.94001,126,2066.760101
398.6396,401,2078.176023
398.42947,402,2084.450598
399.49954,400,2090.610896
400.3897,401,2097.057263
397.93948,401,2104.140271
399.2996,400,2114.446884
400.44977,400,2122.590056
399.08984,401,2130.026987
400.58978,401,2136.089249
398.6996,400,2143.391775
401.04968,400,2152.732018
402.38962,401,2158.856498
400.64954,400,2166.491551
401.88986,401,2172.718595
401.28973,401,2179.92796
402.58984,401,2190.445501
401.14975,400,2197.245622
402.38968,401,2203.353297
401.84976,400,2210.376969
402.9898,401,2217.174329
227.67973,337,2226.671076
403.68988,401,2233.68837
229.07953,332,2239.618528
402.98984,401,2246.310224
400.33954,401,2252.974364
402.08984,401,2262.896674
401.1397,401,2268.728974
403.08966,401,2275.119449
252.93965,371,2280.890689
403.38983,401,2288.457202
403.7898,401,2295.198651
400.99957,400,2306.54006
401.73956,401,2312.986743
403.2898,401,2320.309053
400.6396,401,2327.530974
400.1395,401,2334.273439
403.1897,401,2345.657698
400.13953,401,2353.330823
80.48003,132,2355.905807
401.53955,401,2363.683078
403.58972,401,2370.039258
399.93948,401,2379.581578
402.78986,401,2386.086471
404.08978,401,2392.871028
403.08984,401,2398.865855
404.38977,401,2406.054097
401.78986,401,2412.32336
404.18988,401,2422.453915
404.23962,401,2429.387017
403.84967,400,2435.299109
403.68988,401,2442.191655
229.59969,335,2447.353637
403.4898,401,2459.91435
404.2898,401,2467.890351
404.8899,401,2474.000201
405.48993,401,2481.16748
403.5899,401,2487.63433
402.3396,401,2498.378778
403.28973,401,2505.21359
81.58005,132,2507.52796
403.44968,400,2514.160672
402.43958,401,2520.748885
402.63968,401,2526.683741
404.28986,401,2537.029885
404.08978,401,2542.990664
404.7898,401,2550.447493
402.94983,400,2557.882052
403.98975,401,2564.443485
404.49966,400,2575.324525
404.08984,401,2582.672917
404.69977,400,2589.650692
402.2896,401,2596.180746
403.89972,400,2602.306557
402.8397,401,2612.816093
254.33974,371,2618.490313
403.69968,400,2625.326756
403.74954,400,2631.445753
402.53967,401,2638.392944
403.14966,400,2649.793736
402.89963,400,2656.10513
402.3397,401,2664.233603
403.33963,401,2670.725618
401.93954,401,2676.789864
399.83954,401,2689.133387
402.0396,401,2695.695002
403.4396,401,2702.848536
402.4496,400,2709.353805
401.53967,401,2716.057015
403.98987,401,2728.942584
403.4597,399,2736.299265
402.6396,401,2743.227187
402.98993,401,2750.233482
403.03955,401,2758.050798
403.9397,401,2772.032079
405.10962,399,2778.927249
404.7497,400,2785.29805
405.14987,400,2792.653533
403.63962,401,2799.214915
403.53958,401,2805.945929
115.049965,180,2812.57853
404.5899,401,2819.391209
405.98987,401,2826.275245
405.15973,399,2832.661211
405.9997,400,2839.663443
175.57974,257,2844.930703
408.1399,401,2855.543939
114.449974,180,2858.629067
402.03964,401,2865.306702
405.10974,399,2871.40875
406.94995,400,2878.477298
406.1499,400,2889.493967
405.64966,400,2896.112426
404.8496,400,2902.78445
406.18988,401,2909.233333
405.98987,401,2916.829057
403.13965,401,2927.25545
406.28986,401,2934.225019
406.83997,401,2940.138269
406.8899,401,2947.367915
404.79962,400,2953.969838
406.8899,401,2960.707286
404.83972,401,2972.588051
406.0396,401,2982.318269
406.4897,401,2992.390228
406.9497,400,3001.414287
407.2999,400,3008.350119
178.02975,257,3016.583371
409.38995,401,3022.725271
74.34007,121,3025.963365
407.3497,400,3032.980381
405.98987,401,3039.673428
406.13983,401,3046.790491
405.58984,401,3059.377477
405.34976,400,3066.684935
405.8899,401,3074.388815
406.28964,401,3080.978622
408.13995,401,3089.528091
407.5399,401,3100.364138
405.34964,400,3107.075698
406.08984,401,3113.23901
409.48987,401,3120.341298
406.28973,401,3127.165291
403.78964,401,3138.2508
406.20978,399,3144.317859
406.43988,401,3152.088712
407.4899,401,3158.91021
405.5997,400,3165.23211
406.5998,400,3175.041101
407.93988,401,3180.94348
407.79984,400,3188.316073
407.6399,401,3195.048549
408.49982,400,3201.73863
231.02972,327,3210.932629
406.29965,400,3218.139964
82.43005,132,3220.86656
257.9398,371,3227.853435
409.94983,400,3235.398809
409.3899,401,3242.349923
407.3899,401,3254.248435
409.78992,401,3261.690346
409.28992,401,3267.978238
408.23993,401,3276.315553
408.88977,401,3282.970293
83.610016,134,3285.528229
409.38995,401,3297.106676
410.68994,401,3304.100936
409.88995,401,3310.449595
409.3899,401,3318.577627
83.399994,135,3321.163349
409.18988,401,3328.914543
408.33984,401,3339.153447
407.64966,400,3346.052215
407.63965,401,3352.982525
409.3899,401,3359.64674
409.2498,400,3368.648371
409.5899,401,3380.237723
257.7898,371,3386.014868
408.84976,400,3393.389681
407.4498,400,3400.320735
407.1498,400,3408.410055
408.84973,400,3422.831202
409.19,401,3430.333772
409.6897,401,3442.033997
407.9999,400,3449.207088
407.9497,400,3459.831236
408.68994,401,3474.274156
82.43007,132,3480.382204
409.6999,400,3490.333467
409.0899,401,3497.206105
410.53992,401,3507.000203
406.6997,400,3513.834822
408.04987,400,3527.41336
408.1499,400,3535.306297
410.29993,400,3542.522397
408.4999,400,3551.024518
409.3999,400,3558.03098
407.9497,400,3571.050807
233.36966,338,3577.367221
231.48969,326,3583.436209
408.79977,400,3595.060062
408.09976,400,3603.116437
232.86978,328,3610.235397
407.0997,400,3623.709629
82.58003,132,3626.659564
83.780045,132,3629.550292
410.34995,400,3638.50592
409.29977,400,3644.687368
229.70972,324,3651.509799
84.18005,132,3654.379305
82.83006,132,3657.700689
83.98005,132,3665.503764
410.48993,401,3671.779787
409.39975,400,3679.221929
408.44977,400,3686.240674
409.49982,400,3692.256023
409.8899,401,3699.653921
408.2898,401,3711.851095
408.9499,400,3718.409678
408.5899,401,3724.287635
230.2897,326,3730.295014
408.84967,400,3736.317274
407.0498,400,3746.223501
408.93988,401,3752.474178
83.18004,132,3755.26312
406.5398,401,3762.135822
408.79984,400,3769.360124
406.43967,401,3775.404783
407.54974,400,3784.520083
408.4998,400,3790.65348
407.09982,400,3796.737942
409.24985,400,3802.458321
408.4999,400,3808.563965
407.84964,400,3818.12622
179.06978,258,3822.142078
408.04968,400,3828.395118
408.28998,401,3834.033773
407.69983,400,3840.244692
408.03986,401,3849.170389
79.68004,132,3851.467392
407.39984,400,3858.190408
407.2396,401,3864.355773
408.44983,400,3871.082568
407.28992,401,3877.005628
75.520065,123,3879.521296
409.28992,401,3889.716856
232.65967,329,3894.593365
408.54953,400,3901.199829
406.84967,400,3907.917373
229.19968,325,3912.81804
408.98987,401,3925.182376
406.30954,399,3931.157215
408.08984,401,3938.05378
408.28992,401,3944.787444
408.4497,400,3951.820467
408.18988,401,3961.744553
406.5396,401,3967.910962
405.93948,401,3974.707187
406.08984,401,3981.555806
405.29968,400,3988.149743
407.39975,400,3998.984605
404.74966,400,4005.453353
405.93964,401,4013.820625
405.03964,401,4021.34898
231.27974,337,4030.60802
82.97,138,4033.651185
82.02999,137,4036.789083
402.99976,400,4048.685889
405.54962,400,4055.2481
403.2393,401,4063.072184
402.68967,401,4071.746562
82.179985,137,4074.411065
407.44968,400,4082.477047
229.59975,340,4092.344715
407.34976,400,4100.355314
406.29977,400,4107.628
406.93958,401,4113.965176
230.03975,341,4121.416747
404.69952,400,4133.64017
406.04968,400,4140.31282
407.3397,401,4148.064115
230.22964,337,4154.403915
229.7997,340,4159.88521
229.5997,325,4168.287119
408.09982,400,4183.473945
407.04962,400,4192.256011
74.830055,122,4195.569173
405.73965,401,4202.832703
406.23965,401,4208.915933
406.03964,401,4216.600138
406.50974,399,4232.012578
405.7996,400,4238.780614
407.0396,401,4248.064086
407.54968,400,4255.844925
406.73972,401,4262.87888
406.1997,400,4274.602821
