#{"t_start": 1744321262.6129818, "env_id": "None"}
r,l,t
73.28003,132,2.88673
95.559975,169,3.980363
213.19955,325,6.656966
163.31989,278,8.920879
68.98004,122,10.036709
412.61963,448,13.738794
51.150047,105,14.420982
41.770065,103,15.019373
218.7095,334,16.675452
75.58003,132,18.610189
416.59973,440,20.472191
44.240036,106,21.096171
74.68,132,21.824715
212.71957,323,23.367303
369.31952,398,25.091939
121.00996,219,26.184288
177.96982,293,27.583897
51.49005,101,29.212603
43.82003,108,29.805815
95.25998,169,30.600833
43.760033,104,31.119845
217.39958,335,32.553087
51.010056,99,33.094883
186.5699,313,34.47945
119.209984,219,35.502072
159.81982,263,36.78652
48.850037,105,37.410416
71.270035,123,38.089949
219.32945,332,40.50101
216.66953,328,41.938538
43.49006,111,42.60712
44.00004,105,43.158777
409.96964,433,45.097477
43.07007,103,45.68334
398.89978,425,47.713133
43.760033,104,48.320872
98.249985,170,49.092813
412.60956,439,52.175086
165.02989,277,53.480958
96.11995,173,54.300589
158.01982,263,55.589855
42.94005,106,56.180439
228.50946,359,57.952251
73.78002,132,58.696375
118.70992,219,59.770483
185.11974,288,62.499118
43.31006,109,63.080339
214.42953,322,64.410997
74.680016,132,65.125698
230.18956,346,66.984913
51.000046,100,67.761753
213.79956,325,69.750321
163.83978,276,71.288584
49.920036,108,72.166477
44.950035,105,72.860279
48.990044,101,74.846802
44.15004,105,75.433589
390.28967,401,77.472678
168.58978,271,78.861813
50.69005,101,79.591722
75.08003,132,80.444932
164.65985,274,81.777978
44.390022,111,82.514436
164.67992,272,83.865787
186.41963,288,85.384001
44.500015,110,87.413579
182.1897,291,88.805013
217.50961,324,90.294272
185.31964,288,91.851998
43.570045,103,92.530522
45.49003,111,93.174349
42.930054,107,93.822908
73.85004,125,94.652254
45.68004,112,95.222368
165.55988,274,97.606935
42.370064,103,98.487853
51.730034,107,99.136182
121.40989,219,101.285892
45.550026,105,101.897117
184.98964,291,103.379934
417.10962,439,105.536891
45.200027,110,106.25878
51.05004,105,106.852777
165.6499,275,108.191598
183.30963,299,109.660347
394.03967,416,112.688566
392.09952,430,114.716409
230.30963,359,116.469667
415.00964,434,118.534462
186.0797,302,120.037878
45.17003,103,120.654632
233.8996,370,123.463566
74.670006,133,124.200324
162.47983,272,125.513116
50.880043,102,126.120913
50.610046,99,126.711675
52.300034,100,127.317422
111.049995,180,128.441741
52.000046,110,129.115725
103.479935,192,130.127071
394.01956,428,132.168873
43.960045,104,132.832074
51.36003,104,133.447751
415.9497,435,136.508945
167.19983,270,137.780369
