#{"t_start": 1744350248.9457247, "env_id": "None"}
r,l,t
50.03003,107,4.25297
52.390053,101,5.131857
49.510017,109,6.163361
51.98004,102,7.08124
50.14003,106,8.004114
50.480034,112,8.885198
49.47004,103,9.805948
50.50004,100,10.613535
48.780045,102,11.545583
49.150032,105,12.446205
49.99005,111,13.468495
49.550034,105,14.330087
50.30005,100,15.139134
50.320038,108,16.040591
50.380013,112,17.049763
49.30004,100,17.978672
48.940018,106,18.822043
50.490036,101,19.772935
50.66004,104,20.679539
51.070038,103,23.271021
50.870033,103,24.210018
51.570038,103,25.033168
50.980057,102,25.888636
51.800056,100,26.700474
51.080048,102,27.370239
50.510017,109,28.128196
50.66004,104,28.871728
50.570038,103,29.701743
48.910027,109,30.584304
121.60995,219,31.898882
51.360046,104,32.646129
51.00003,110,33.41305
50.390053,101,34.054967
51.300034,110,34.825367
50.710052,99,35.476641
50.60003,110,36.168351
51.77005,103,36.864996
49.370033,103,37.653861
49.600037,100,39.826449
51.16004,104,40.496942
51.910057,99,41.189312
51.560028,104,41.896183
50.100044,100,42.559149
121.87994,212,43.832004
50.760056,104,44.57834
49.74003,106,45.277435
50.75004,105,45.966054
50.010063,99,46.629936
51.280045,102,47.332218
52.400047,100,48.061318
51.560043,104,48.824417
50.08004,102,49.502625
52.190033,111,50.246441
50.780045,102,50.930905
50.030037,107,51.630535
52.26004,104,52.323364
50.450027,105,54.727143
51.30005,100,55.520508
50.95005,105,56.342488
51.480026,102,57.143475
50.020027,108,57.965986
51.600044,100,58.745405
49.330025,107,59.604876
51.010056,99,60.339499
51.17005,103,61.130273
48.510033,99,61.909921
50.990013,111,62.719387
51.440025,106,63.474766
50.86004,104,64.253911
51.80005,100,64.948847
50.790047,101,65.701624
51.130028,107,66.521166
51.150024,105,67.43045
49.52005,108,68.224836
49.690033,101,69.027049
50.630035,107,69.83744
49.69005,101,71.91593
51.58004,102,72.694804
50.04003,106,73.462608
50.970047,103,74.224748
51.470055,103,75.070891
48.41004,99,75.84625
117.30991,219,77.381533
