#{"t_start": 1743710600.502121, "env_id": "None"}
r,l,t
218.94957,330,8.491969
110.35,180,10.15111
78.58005,132,11.423564
389.5997,400,14.296767
391.49966,400,16.973863
167.46967,268,19.000805
78.68004,132,20.213336
217.34958,330,25.695131
213.82962,322,28.065494
212.33957,321,30.559724
67.99001,121,31.889941
75.64,136,33.355991
78.350006,135,34.760963
213.08957,326,37.436048
77.57001,133,38.903962
69.190025,121,40.195162
216.57953,327,45.993777
76.98002,132,47.278025
78.38005,132,48.650421
79.07004,133,50.254562
168.26968,268,52.547259
68.990036,121,54.049612
77.88005,132,55.415727
77.78003,132,57.29435
216.80954,324,59.893524
221.31958,333,62.417711
214.6196,323,64.966914
219.82951,332,70.607778
212.61954,323,73.070227
77.08002,132,74.513288
219.5896,326,77.019923
111.44996,180,79.053444
218.28958,326,81.518861
76.98003,132,82.924748
109.65,180,84.575402
73.33003,127,89.057729
218.7296,332,91.415995
216.97961,327,94.122943
70.07002,123,95.393367
169.96976,268,97.494945
109.84998,180,99.120838
217.62964,322,101.899068
217.18954,326,104.795685
69.68003,122,106.283495
110.59994,185,111.812012
78.869995,133,113.072886
218.68956,326,115.34413
79.18004,132,116.517541
219.6896,326,118.975759
109.75001,180,120.582939
79.08005,132,121.908754
80.080055,132,123.49815
79.38005,132,124.804364
218.29965,325,127.510619
78.18004,132,132.958378
70.19003,121,134.153684
79.180046,132,135.446485
394.4497,400,138.472269
113.99996,180,140.153607
70.97004,123,141.519082
225.35956,329,144.390858
78.38005,132,145.81572
224.02957,332,149.075788
169.54965,260,154.597739
77.980034,132,155.870553
112.85,180,157.503909
78.270035,133,158.746207
170.7197,273,160.777928
171.0698,268,162.934319
74.54004,126,164.635785
222.7796,327,166.933513
171.16971,268,169.365623
225.82965,332,175.021891
222.60956,334,177.373951
78.480034,132,178.723866
79.97002,133,180.025594
79.38004,132,181.353728
168.97993,272,183.909049
169.21968,263,186.254233
75.880035,132,187.596562
78.680046,132,189.26298
219.22961,322,192.096561
77.88003,132,193.426337
168.96967,268,199.556144
71.57007,123,200.78483
222.72958,332,203.503487
219.1196,323,206.086166
111.24999,180,208.273354
78.68005,132,209.63623
71.96002,124,210.833555
79.38004,132,212.085863
78.78005,132,213.489958
170.36975,268,215.595806
223.82953,332,222.261631
218.52963,322,224.718834
221.60956,324,227.021475
167.34987,275,229.617482
72.28005,122,230.98063
221.37964,327,233.645381
78.380035,132,234.921198
167.93991,276,236.981534
219.79959,325,243.552341
110.94999,180,245.082172
222.32964,332,247.484442
221.65956,329,250.053903
168.3697,268,251.983329
219.5896,326,254.787505
78.680046,132,256.152063
79.640015,136,257.411586
217.63959,321,264.106996
71.280045,122,265.327681
394.6498,400,268.395189
218.98964,326,270.983507
220.08957,326,273.872736
220.97958,327,276.97332
219.92963,332,282.10256
170.56966,268,284.506395
221.60957,334,287.05001
75.04003,126,288.394312
213.83969,321,290.830521
76.48001,132,292.115366
221.68965,336,295.040789
78.18005,132,296.412957
77.58005,132,297.729037
216.60953,324,303.993437
164.9399,276,306.131795
